"categoria","pregunta","opcion_1","opcion_2","opcion_3","explicacion_1","explicacion_2","explicacion_3","respuesta_correcta"
"Formalidad y Registro","La importancia de la puntualidad (Carta de queja)","Det er avgjørende at bussen kommer presis.","Det er kjempeviktig at bussen kommer presis.","Det er veldig viktig at bussen kommer presis.","Correcta (Nivel B2). 'Avgjørende' es la palabra precisa y formal.","Error de registro: 'Kjempeviktig' es demasiado coloquial/oral para una carta formal.","Gramaticalmente correcta pero demasiado simple. 'Avgjørende' da más puntos en el examen.","1"
"Formalidad y Registro","Un buen sistema de salud","Helsehjelp er helt avgjørende for befolkningen.","Helsehjelp er kjempebra for befolkningen.","Helsehjelp er avgjørende viktig for befolkningen.","Correcta. Uso adecuado de 'avgjørende'.","Error de registro: 'Kjempebra' es infantil o demasiado informal.","Redundante: No se debe combinar 'avgjørende' con 'viktig'.","1"
"Negación en Subordinadas","Si no encontramos solución (Uso de 'Ingen' vs 'Ikke noen')","Vi må klage hvis vi ikke finner noen løsning.","Vi må klage hvis vi finner ingen løsning.","Vi må klage hvis vi ikke noen løsning finner.","Correcta. En subordinadas se separa: 'ikke... noen'.","Error gramatical: No se usa 'ingen' como objeto en oraciones subordinadas.","Error de orden de palabras (sintaxis).","1"
"Negación en Subordinadas","Porque no tengo dinero","Jeg blir hjemme fordi jeg ikke har noen penger.","Jeg blir hjemme fordi jeg har ingen penger.","Jeg blir hjemme fordi har jeg ingen penger.","Correcta. Subordinada con 'ikke... noen'.","Error común: 'Ingen' suena mal en estructura subordinada.","Error V2: En la subordinada con 'fordi' el sujeto va antes del verbo.","1"
"Palabras Compuestas","Horario de cierre","Kan dere endre bibliotekets stengetid?","Kan dere endre bibliotekets stenging tid?","Kan dere endre bibliotekets lukketid?","Correcta. Palabra compuesta escrita junta.","Error grave: Separar palabras compuestas (særskrivingsfeil) cambia el sentido.","Impreciso: 'Lukketid' es gramaticalmente correcto pero menos administrativo que 'stengetid'.","1"
"Palabras Compuestas","Satisfacción laboral","Dårlig ledelse ødelegger min arbeidsglede.","Dårlig ledelse ødelegger min arbeids glede.","Dårlig ledelse ødelegger min arbeidsglade.","Correcta. Concepto único escrito junto.","Error grave: Separación indebida de palabra compuesta.","Confusión: 'Arbeidsglade' es un adjetivo plural, no el sustantivo.","1"
"Preposiciones Fijas","Pedir algo (Solicitar)","Jeg vil be dere om å fikse veien.","Jeg vil be dere for å fikse veien.","Jeg vil be dere å fikse veien.","Correcta. La estructura es 'be om å'.","Error: La preposición correcta con 'be' es 'om', no 'for'.","Error: Omisión de la preposición obligatoria 'om'.","1"
"Preposiciones Fijas","Lejos de casa","Jeg bor langt unna hjemmet mitt.","Jeg bor langt unna fra hjemmet mitt.","Jeg bor langt borte hjemmet mitt.","Correcta. 'Unna' indica distancia por sí solo.","Error de redundancia: 'Unna' ya implica separación, 'fra' sobra.","Error léxico y gramatical.","1"
"Doble Infinitivo con Modal","Tener que tomar el bus y esperar","Jeg må ta buss og vente to timer.","Jeg må ta buss og venter to timer.","Jeg må ta buss og ventet to timer.","Correcta. Ambos verbos en infinitivo regidos por 'må'.","Error de conjugación: El segundo verbo también debe ir en infinitivo, no en presente.","Error de tiempo verbal (pasado).","1"
"Doble Infinitivo con Modal","Poder leer y escribir","Barnet kan lese og skrive.","Barnet kan lese og skriver.","Barnet kan lese og å skrive.","Correcta. Infinitivos unidos por 'og'.","Error de conjugación: El segundo verbo debe ser infinitivo.","Error: No se repite la partícula 'å' después de un verbo modal como 'kan'.","1"
"Expresiones de Tiempo y Lugar","Viajar por todo el país","De reiste landet rundt i ferien.","De reiste rundt landet i ferien.","De reiste i landet rundt i ferien.","Correcta. Sufijo pospuesto 'rundt' indica totalidad.","Error de significado: 'Rundt landet' implica viajar por las fronteras/costa exterior.","Error de orden de las palabras.","1"
"Expresiones de Tiempo y Lugar","Abierto todo el año","Hotellet er åpent året rundt.","Hotellet er åpent hele året rundt.","Hotellet er åpent året over.","Correcta. Expresión fija.","Redundante: 'Hele' sobra cuando se usa 'året rundt'.","Error de vocabulario: Se dice 'verden over' pero 'året rundt'.","1"
"Orden de Palabras (Subordinadas)","Condicional negativa (Si no vienes...)","Vi kan ikke dra hvis du ikke kommer.","Vi kan ikke dra hvis kommer du ikke.","Vi kan ikke dra hvis du kommer ikke.","Correcta. Estructura: Subjunción + Sujeto + IKKE + Verbo.","Error V2: Inversión incorrecta en una oración subordinada.","Error de posición: El adverbio 'ikke' debe ir antes del verbo en subordinadas.","1"
"Orden de Palabras (Subordinadas)","Causa con frecuencia (Porque trabajo a menudo...)","Jeg er trøtt fordi jeg ofte jobber sent.","Jeg er trøtt fordi jobber jeg ofte sent.","Jeg er trøtt fordi jeg jobber ofte sent.","Correcta. Adverbio 'ofte' antes del verbo en subordinada.","Error V2: Inversión incorrecta tras 'fordi'.","Error de posición: El adverbio debe ir antes del verbo en la subordinada.","1"
"Voz Pasiva","Un accidente de tráfico (Pasado)","Gutten ble skadet i ulykken.","Gutten var skadet i ulykken.","Gutten skades i ulykken.","Correcta. Uso de 'ble' + participio para cambios de estado/accidentes en pasado.","Error: 'Var skadet' describe un estado, no el evento del accidente.","Error: S-passiv se usa para reglas o presente, no para un accidente pasado específico.","1"
"Voz Pasiva","Una prohibición general (Presente)","Røyking forbys her.","Røyking blir forbudt her.","Røyking forbyr her.","Correcta. S-passiv es ideal para instrucciones, reglas y prohibiciones.","Posible pero menos idiomático: 'Blir forbudt' suena más a proceso que a regla.","Error: Voz activa sin objeto, falta la pasiva.","1"
"Conectores y Orden (V2)","La conclusión (Por eso...)","Bussen er sen. Derfor må jeg ta taxi.","Bussen er sen. Derfor jeg må ta taxi.","Bussen er sen. Fordi må jeg ta taxi.","Correcta. 'Derfor' ocupa la posición 1, el verbo debe ir en la 2 (Inversión).","Error: Falta la inversión del verbo (V2) después de 'Derfor'.","Error: 'Fordi' es una subjunción, no inicia una frase principal invertida.","1"
"Conectores y Orden (V2)","La causa (Debido a...)","Vi kom for sent på grunn av været.","Vi kom for sent på grunn av det regnet.","Vi kom for sent fordi av været.","Correcta. 'På grunn av' va seguido de sustantivo.","Error: 'På grunn av' no puede ir seguido de una oración completa (verbo).","Error: Mezcla incorrecta de 'fordi' y 'av'.","1"
"Estructura Fija","Argumentando: Por otro lado (Gobierno)","...men på den andre siden må staten ta ansvar.","...men på den andre siden staten må ta ansvar.","...men på den andre sida må staten ta ansvar.","Correcta. La frase 'på den andre siden' es Posición 1, luego va el verbo.","Error V2: El verbo debe ir justo después de la expresión temporal/conector.","Estilo: Evitar terminaciones femeninas (-a) en textos formales B2.","1"
"Estructura Fija","Argumentando: Por otro lado (Tráfico)","Men på den andre siden er det viktig å kjøre forsiktig.","Men på den andre siden det er viktig å kjøre forsiktig.","Men, på den andre siden, det er viktig...","Correcta. Inversión correcta del verbo 'er'.","Error V2: El sujeto 'det' no puede ir antes del verbo aquí.","Error: Las comas no alteran la regla V2 en noruego.","1"
"Relativo (Som)","No sabemos qué pasó (Hva som)","Jeg vet ikke hva som skjedde.","Jeg vet ikke hva skjedde.","Jeg vet ikke hva det skjedde.","Correcta. 'Som' es obligatorio cuando 'hva' es el sujeto de la subordinada.","Error: Omisión de 'som' (necesario porque falta sujeto).","Error: Uso incorrecto de 'det' como sujeto extra.","1"
"Relativo (Som)","Lo que es importante","Vi må fokusere på hva som er viktig.","Vi må fokusere på hva er viktig.","Vi må fokusere på hva det er viktig.","Correcta. 'Hva' es sujeto, requiere 'som'.","Error: Omisión de 'som'.","Error de traducción literal o sintaxis.","1"
